# syscall (v6.18.0 2026-06-18),s390
timerfd_gettime64,410
timerfd_settime,320
timerfd_settime64,411
timer_getoverrun,257
timer_gettime,256
timer_gettime64,408
timer_settime,255
timer_settime64,409
times,43
tkill,237
truncate64,193
truncate,92
ugetrlimit,191
umask,60
umount,22
umount2,52
uname,122
unlink,10
unlinkat,294
unshare,303
uselib,86
userfaultfd,355
ustat,62
utime,30
utimensat,315
utimensat_time64,412
utimes,313
vfork,190
vhangup,111
vmsplice,309
wait4,114
waitid,281
write,4
writev,146
