#syscall (v6.13.0 2025-01-23),x86,x86_kver,x86_64,x86_64_kver,x32,x32_kver,arm,arm_kver,aarch64,aarch64_kver,loongarch64,loongarch64_kver,m68k,m68k_kver,mips,mips_kver,mips64,mips64_kver,mips64n32,mips64n32_kver,parisc,parisc_kver,parisc64,parisc64_kver,ppc,ppc_kver,ppc64,ppc64_kver,riscv64,riscv64_kver,s390,s390_kver,s390x,s390x_kver,sh,sh_kver
clone3,435,SCMP_KV_UNDEF,435,SCMP_KV_UNDEF,435,SCMP_KV_UNDEF,435,SCMP_KV_UNDEF,435,SCMP_KV_UNDEF,435,SCMP_KV_UNDEF,435,SCMP_KV_UNDEF,435,SCMP_KV_UNDEF,435,SCMP_KV_UNDEF,435,SCMP_KV_UNDEF,435,SCMP_KV_UNDEF,435,SCMP_KV_UNDEF,435,SCMP_KV_UNDEF,435,SCMP_KV_UNDEF,435,SCMP_KV_UNDEF,435,SCMP_KV_UNDEF,435,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF
close,6,SCMP_KV_UNDEF,3,SCMP_KV_UNDEF,3,SCMP_KV_UNDEF,6,SCMP_KV_UNDEF,57,SCMP_KV_UNDEF,57,SCMP_KV_UNDEF,6,SCMP_KV_UNDEF,6,SCMP_KV_UNDEF,3,SCMP_KV_UNDEF,3,SCMP_KV_UNDEF,6,SCMP_KV_UNDEF,6,SCMP_KV_UNDEF,6,SCMP_KV_UNDEF,6,SCMP_KV_UNDEF,57,SCMP_KV_UNDEF,6,SCMP_KV_UNDEF,6,SCMP_KV_UNDEF,6,SCMP_KV_UNDEF
close_range,436,SCMP_KV_UNDEF,436,SCMP_KV_UNDEF,436,SCMP_KV_UNDEF,436,SCMP_KV_UNDEF,436,SCMP_KV_UNDEF,436,SCMP_KV_UNDEF,436,SCMP_KV_UNDEF,436,SCMP_KV_UNDEF,436,SCMP_KV_UNDEF,436,SCMP_KV_UNDEF,436,SCMP_KV_UNDEF,436,SCMP_KV_UNDEF,436,SCMP_KV_UNDEF,436,SCMP_KV_UNDEF,436,SCMP_KV_UNDEF,436,SCMP_KV_UNDEF,436,SCMP_KV_UNDEF,436,SCMP_KV_UNDEF
connect,362,SCMP_KV_UNDEF,42,SCMP_KV_UNDEF,42,SCMP_KV_UNDEF,283,SCMP_KV_UNDEF,203,SCMP_KV_UNDEF,203,SCMP_KV_UNDEF,359,SCMP_KV_UNDEF,170,SCMP_KV_UNDEF,41,SCMP_KV_UNDEF,41,SCMP_KV_UNDEF,31,SCMP_KV_UNDEF,31,SCMP_KV_UNDEF,328,SCMP_KV_UNDEF,328,SCMP_KV_UNDEF,203,SCMP_KV_UNDEF,362,SCMP_KV_UNDEF,362,SCMP_KV_UNDEF,342,SCMP_KV_UNDEF
copy_file_range,377,SCMP_KV_UNDEF,326,SCMP_KV_UNDEF,326,SCMP_KV_UNDEF,391,SCMP_KV_UNDEF,285,SCMP_KV_UNDEF,285,SCMP_KV_UNDEF,376,SCMP_KV_UNDEF,360,SCMP_KV_UNDEF,320,SCMP_KV_UNDEF,324,SCMP_KV_UNDEF,346,SCMP_KV_UNDEF,346,SCMP_KV_UNDEF,379,SCMP_KV_UNDEF,379,SCMP_KV_UNDEF,285,SCMP_KV_UNDEF,375,SCMP_KV_UNDEF,375,SCMP_KV_UNDEF,380,SCMP_KV_UNDEF
creat,8,SCMP_KV_UNDEF,85,SCMP_KV_UNDEF,85,SCMP_KV_UNDEF,8,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,8,SCMP_KV_UNDEF,8,SCMP_KV_UNDEF,83,SCMP_KV_UNDEF,83,SCMP_KV_UNDEF,8,SCMP_KV_UNDEF,8,SCMP_KV_UNDEF,8,SCMP_KV_UNDEF,8,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,8,SCMP_KV_UNDEF,8,SCMP_KV_UNDEF,8,SCMP_KV_UNDEF
create_module,127,SCMP_KV_UNDEF,174,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,127,SCMP_KV_UNDEF,127,SCMP_KV_UNDEF,167,SCMP_KV_UNDEF,167,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,127,SCMP_KV_UNDEF,127,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,127,SCMP_KV_UNDEF,127,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF
delete_module,129,SCMP_KV_UNDEF,176,SCMP_KV_UNDEF,176,SCMP_KV_UNDEF,129,SCMP_KV_UNDEF,106,SCMP_KV_UNDEF,106,SCMP_KV_UNDEF,129,SCMP_KV_UNDEF,129,SCMP_KV_UNDEF,169,SCMP_KV_UNDEF,169,SCMP_KV_UNDEF,129,SCMP_KV_UNDEF,129,SCMP_KV_UNDEF,129,SCMP_KV_UNDEF,129,SCMP_KV_UNDEF,106,SCMP_KV_UNDEF,129,SCMP_KV_UNDEF,129,SCMP_KV_UNDEF,129,SCMP_KV_UNDEF
dup,41,SCMP_KV_UNDEF,32,SCMP_KV_UNDEF,32,SCMP_KV_UNDEF,41,SCMP_KV_UNDEF,23,SCMP_KV_UNDEF,23,SCMP_KV_UNDEF,41,SCMP_KV_UNDEF,41,SCMP_KV_UNDEF,31,SCMP_KV_UNDEF,31,SCMP_KV_UNDEF,41,SCMP_KV_UNDEF,41,SCMP_KV_UNDEF,41,SCMP_KV_UNDEF,41,SCMP_KV_UNDEF,23,SCMP_KV_UNDEF,41,SCMP_KV_UNDEF,41,SCMP_KV_UNDEF,41,SCMP_KV_UNDEF
dup2,63,SCMP_KV_UNDEF,33,SCMP_KV_UNDEF,33,SCMP_KV_UNDEF,63,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,63,SCMP_KV_UNDEF,63,SCMP_KV_UNDEF,32,SCMP_KV_UNDEF,32,SCMP_KV_UNDEF,63,SCMP_KV_UNDEF,63,SCMP_KV_UNDEF,63,SCMP_KV_UNDEF,63,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,63,SCMP_KV_UNDEF,63,SCMP_KV_UNDEF,63,SCMP_KV_UNDEF
dup3,330,SCMP_KV_UNDEF,292,SCMP_KV_UNDEF,292,SCMP_KV_UNDEF,358,SCMP_KV_UNDEF,24,SCMP_KV_UNDEF,24,SCMP_KV_UNDEF,326,SCMP_KV_UNDEF,327,SCMP_KV_UNDEF,286,SCMP_KV_UNDEF,290,SCMP_KV_UNDEF,312,SCMP_KV_UNDEF,312,SCMP_KV_UNDEF,316,SCMP_KV_UNDEF,316,SCMP_KV_UNDEF,24,SCMP_KV_UNDEF,326,SCMP_KV_UNDEF,326,SCMP_KV_UNDEF,330,SCMP_KV_UNDEF
epoll_create,254,SCMP_KV_UNDEF,213,SCMP_KV_UNDEF,213,SCMP_KV_UNDEF,250,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,249,SCMP_KV_UNDEF,248,SCMP_KV_UNDEF,207,SCMP_KV_UNDEF,207,SCMP_KV_UNDEF,224,SCMP_KV_UNDEF,224,SCMP_KV_UNDEF,236,SCMP_KV_UNDEF,236,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,249,SCMP_KV_UNDEF,249,SCMP_KV_UNDEF,254,SCMP_KV_UNDEF
epoll_create1,329,SCMP_KV_UNDEF,291,SCMP_KV_UNDEF,291,SCMP_KV_UNDEF,357,SCMP_KV_UNDEF,20,SCMP_KV_UNDEF,20,SCMP_KV_UNDEF,325,SCMP_KV_UNDEF,326,SCMP_KV_UNDEF,285,SCMP_KV_UNDEF,289,SCMP_KV_UNDEF,311,SCMP_KV_UNDEF,311,SCMP_KV_UNDEF,315,SCMP_KV_UNDEF,315,SCMP_KV_UNDEF,20,SCMP_KV_UNDEF,327,SCMP_KV_UNDEF,327,SCMP_KV_UNDEF,329,SCMP_KV_UNDEF
epoll_ctl,255,SCMP_KV_UNDEF,233,SCMP_KV_UNDEF,233,SCMP_KV_UNDEF,251,SCMP_KV_UNDEF,21,SCMP_KV_UNDEF,21,SCMP_KV_UNDEF,250,SCMP_KV_UNDEF,249,SCMP_KV_UNDEF,208,SCMP_KV_UNDEF,208,SCMP_KV_UNDEF,225,SCMP_KV_UNDEF,225,SCMP_KV_UNDEF,237,SCMP_KV_UNDEF,237,SCMP_KV_UNDEF,21,SCMP_KV_UNDEF,250,SCMP_KV_UNDEF,250,SCMP_KV_UNDEF,255,SCMP_KV_UNDEF
epoll_ctl_old,PNR,SCMP_KV_UNDEF,214,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF
epoll_pwait,319,SCMP_KV_UNDEF,281,SCMP_KV_UNDEF,281,SCMP_KV_UNDEF,346,SCMP_KV_UNDEF,22,SCMP_KV_UNDEF,22,SCMP_KV_UNDEF,315,SCMP_KV_UNDEF,313,SCMP_KV_UNDEF,272,SCMP_KV_UNDEF,276,SCMP_KV_UNDEF,297,SCMP_KV_UNDEF,297,SCMP_KV_UNDEF,303,SCMP_KV_UNDEF,303,SCMP_KV_UNDEF,22,SCMP_KV_UNDEF,312,SCMP_KV_UNDEF,312,SCMP_KV_UNDEF,319,SCMP_KV_UNDEF
epoll_pwait2,441,SCMP_KV_UNDEF,441,SCMP_KV_UNDEF,441,SCMP_KV_UNDEF,441,SCMP_KV_UNDEF,441,SCMP_KV_UNDEF,441,SCMP_KV_UNDEF,441,SCMP_KV_UNDEF,441,SCMP_KV_UNDEF,441,SCMP_KV_UNDEF,441,SCMP_KV_UNDEF,441,SCMP_KV_UNDEF,441,SCMP_KV_UNDEF,441,SCMP_KV_UNDEF,441,SCMP_KV_UNDEF,441,SCMP_KV_UNDEF,441,SCMP_KV_UNDEF,441,SCMP_KV_UNDEF,441,SCMP_KV_UNDEF
epoll_wait,256,SCMP_KV_UNDEF,232,SCMP_KV_UNDEF,232,SCMP_KV_UNDEF,252,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,251,SCMP_KV_UNDEF,250,SCMP_KV_UNDEF,209,SCMP_KV_UNDEF,209,SCMP_KV_UNDEF,226,SCMP_KV_UNDEF,226,SCMP_KV_UNDEF,238,SCMP_KV_UNDEF,238,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,251,SCMP_KV_UNDEF,251,SCMP_KV_UNDEF,256,SCMP_KV_UNDEF
epoll_wait_old,PNR,SCMP_KV_UNDEF,215,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF
eventfd,323,SCMP_KV_UNDEF,284,SCMP_KV_UNDEF,284,SCMP_KV_UNDEF,351,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,319,SCMP_KV_UNDEF,319,SCMP_KV_UNDEF,278,SCMP_KV_UNDEF,282,SCMP_KV_UNDEF,304,SCMP_KV_UNDEF,304,SCMP_KV_UNDEF,307,SCMP_KV_UNDEF,307,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,318,SCMP_KV_UNDEF,318,SCMP_KV_UNDEF,323,SCMP_KV_UNDEF
eventfd2,328,SCMP_KV_UNDEF,290,SCMP_KV_UNDEF,290,SCMP_KV_UNDEF,356,SCMP_KV_UNDEF,19,SCMP_KV_UNDEF,19,SCMP_KV_UNDEF,324,SCMP_KV_UNDEF,325,SCMP_KV_UNDEF,284,SCMP_KV_UNDEF,288,SCMP_KV_UNDEF,310,SCMP_KV_UNDEF,310,SCMP_KV_UNDEF,314,SCMP_KV_UNDEF,314,SCMP_KV_UNDEF,19,SCMP_KV_UNDEF,323,SCMP_KV_UNDEF,323,SCMP_KV_UNDEF,328,SCMP_KV_UNDEF
execve,11,SCMP_KV_UNDEF,59,SCMP_KV_UNDEF,520,SCMP_KV_UNDEF,11,SCMP_KV_UNDEF,221,SCMP_KV_UNDEF,221,SCMP_KV_UNDEF,11,SCMP_KV_UNDEF,11,SCMP_KV_UNDEF,57,SCMP_KV_UNDEF,57,SCMP_KV_UNDEF,11,SCMP_KV_UNDEF,11,SCMP_KV_UNDEF,11,SCMP_KV_UNDEF,11,SCMP_KV_UNDEF,221,SCMP_KV_UNDEF,11,SCMP_KV_UNDEF,11,SCMP_KV_UNDEF,11,SCMP_KV_UNDEF
execveat,358,SCMP_KV_UNDEF,322,SCMP_KV_UNDEF,545,SCMP_KV_UNDEF,387,SCMP_KV_UNDEF,281,SCMP_KV_UNDEF,281,SCMP_KV_UNDEF,355,SCMP_KV_UNDEF,356,SCMP_KV_UNDEF,316,SCMP_KV_UNDEF,320,SCMP_KV_UNDEF,342,SCMP_KV_UNDEF,342,SCMP_KV_UNDEF,362,SCMP_KV_UNDEF,362,SCMP_KV_UNDEF,281,SCMP_KV_UNDEF,354,SCMP_KV_UNDEF,354,SCMP_KV_UNDEF,376,SCMP_KV_UNDEF
exit,1,SCMP_KV_UNDEF,60,SCMP_KV_UNDEF,60,SCMP_KV_UNDEF,1,SCMP_KV_UNDEF,93,SCMP_KV_UNDEF,93,SCMP_KV_UNDEF,1,SCMP_KV_UNDEF,1,SCMP_KV_UNDEF,58,SCMP_KV_UNDEF,58,SCMP_KV_UNDEF,1,SCMP_KV_UNDEF,1,SCMP_KV_UNDEF,1,SCMP_KV_UNDEF,1,SCMP_KV_UNDEF,93,SCMP_KV_UNDEF,1,SCMP_KV_UNDEF,1,SCMP_KV_UNDEF,1,SCMP_KV_UNDEF
exit_group,252,SCMP_KV_UNDEF,231,SCMP_KV_UNDEF,231,SCMP_KV_UNDEF,248,SCMP_KV_UNDEF,94,SCMP_KV_UNDEF,94,SCMP_KV_UNDEF,247,SCMP_KV_UNDEF,246,SCMP_KV_UNDEF,205,SCMP_KV_UNDEF,205,SCMP_KV_UNDEF,222,SCMP_KV_UNDEF,222,SCMP_KV_UNDEF,234,SCMP_KV_UNDEF,234,SCMP_KV_UNDEF,94,SCMP_KV_UNDEF,248,SCMP_KV_UNDEF,248,SCMP_KV_UNDEF,252,SCMP_KV_UNDEF
faccessat,307,SCMP_KV_UNDEF,269,SCMP_KV_UNDEF,269,SCMP_KV_UNDEF,334,SCMP_KV_UNDEF,48,SCMP_KV_UNDEF,48,SCMP_KV_UNDEF,300,SCMP_KV_UNDEF,300,SCMP_KV_UNDEF,259,SCMP_KV_UNDEF,263,SCMP_KV_UNDEF,287,SCMP_KV_UNDEF,287,SCMP_KV_UNDEF,298,SCMP_KV_UNDEF,298,SCMP_KV_UNDEF,48,SCMP_KV_UNDEF,300,SCMP_KV_UNDEF,300,SCMP_KV_UNDEF,307,SCMP_KV_UNDEF
faccessat2,439,SCMP_KV_UNDEF,439,SCMP_KV_UNDEF,439,SCMP_KV_UNDEF,439,SCMP_KV_UNDEF,439,SCMP_KV_UNDEF,439,SCMP_KV_UNDEF,439,SCMP_KV_UNDEF,439,SCMP_KV_UNDEF,439,SCMP_KV_UNDEF,439,SCMP_KV_UNDEF,439,SCMP_KV_UNDEF,439,SCMP_KV_UNDEF,439,SCMP_KV_UNDEF,439,SCMP_KV_UNDEF,439,SCMP_KV_UNDEF,439,SCMP_KV_UNDEF,439,SCMP_KV_UNDEF,439,SCMP_KV_UNDEF
fadvise64,250,SCMP_KV_UNDEF,221,SCMP_KV_UNDEF,221,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,223,SCMP_KV_UNDEF,223,SCMP_KV_UNDEF,246,SCMP_KV_UNDEF,254,SCMP_KV_UNDEF,215,SCMP_KV_UNDEF,216,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,233,SCMP_KV_UNDEF,233,SCMP_KV_UNDEF,223,SCMP_KV_UNDEF,253,SCMP_KV_UNDEF,253,SCMP_KV_UNDEF,250,SCMP_KV_UNDEF
fadvise64_64,272,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,267,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,236,SCMP_KV_UNDEF,236,SCMP_KV_UNDEF,254,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,264,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,272,SCMP_KV_UNDEF
fallocate,324,SCMP_KV_UNDEF,285,SCMP_KV_UNDEF,285,SCMP_KV_UNDEF,352,SCMP_KV_UNDEF,47,SCMP_KV_UNDEF,47,SCMP_KV_UNDEF,320,SCMP_KV_UNDEF,320,SCMP_KV_UNDEF,279,SCMP_KV_UNDEF,283,SCMP_KV_UNDEF,305,SCMP_KV_UNDEF,305,SCMP_KV_UNDEF,309,SCMP_KV_UNDEF,309,SCMP_KV_UNDEF,47,SCMP_KV_UNDEF,314,SCMP_KV_UNDEF,314,SCMP_KV_UNDEF,324,SCMP_KV_UNDEF
fanotify_init,338,SCMP_KV_UNDEF,300,SCMP_KV_UNDEF,300,SCMP_KV_UNDEF,367,SCMP_KV_UNDEF,262,SCMP_KV_UNDEF,262,SCMP_KV_UNDEF,337,SCMP_KV_UNDEF,336,SCMP_KV_UNDEF,295,SCMP_KV_UNDEF,300,SCMP_KV_UNDEF,322,SCMP_KV_UNDEF,322,SCMP_KV_UNDEF,323,SCMP_KV_UNDEF,323,SCMP_KV_UNDEF,262,SCMP_KV_UNDEF,332,SCMP_KV_UNDEF,332,SCMP_KV_UNDEF,337,SCMP_KV_UNDEF
fanotify_mark,339,SCMP_KV_UNDEF,301,SCMP_KV_UNDEF,301,SCMP_KV_UNDEF,368,SCMP_KV_UNDEF,263,SCMP_KV_UNDEF,263,SCMP_KV_UNDEF,338,SCMP_KV_UNDEF,337,SCMP_KV_UNDEF,296,SCMP_KV_UNDEF,301,SCMP_KV_UNDEF,323,SCMP_KV_UNDEF,323,SCMP_KV_UNDEF,324,SCMP_KV_UNDEF,324,SCMP_KV_UNDEF,263,SCMP_KV_UNDEF,333,SCMP_KV_UNDEF,333,SCMP_KV_UNDEF,338,SCMP_KV_UNDEF
fchdir,133,SCMP_KV_UNDEF,81,SCMP_KV_UNDEF,81,SCMP_KV_UNDEF,133,SCMP_KV_UNDEF,50,SCMP_KV_UNDEF,50,SCMP_KV_UNDEF,133,SCMP_KV_UNDEF,133,SCMP_KV_UNDEF,79,SCMP_KV_UNDEF,79,SCMP_KV_UNDEF,133,SCMP_KV_UNDEF,133,SCMP_KV_UNDEF,133,SCMP_KV_UNDEF,133,SCMP_KV_UNDEF,50,SCMP_KV_UNDEF,133,SCMP_KV_UNDEF,133,SCMP_KV_UNDEF,133,SCMP_KV_UNDEF
fchmod,94,SCMP_KV_UNDEF,91,SCMP_KV_UNDEF,91,SCMP_KV_UNDEF,94,SCMP_KV_UNDEF,52,SCMP_KV_UNDEF,52,SCMP_KV_UNDEF,94,SCMP_KV_UNDEF,94,SCMP_KV_UNDEF,89,SCMP_KV_UNDEF,89,SCMP_KV_UNDEF,94,SCMP_KV_UNDEF,94,SCMP_KV_UNDEF,94,SCMP_KV_UNDEF,94,SCMP_KV_UNDEF,52,SCMP_KV_UNDEF,94,SCMP_KV_UNDEF,94,SCMP_KV_UNDEF,94,SCMP_KV_UNDEF
fchmodat,306,SCMP_KV_UNDEF,268,SCMP_KV_UNDEF,268,SCMP_KV_UNDEF,333,SCMP_KV_UNDEF,53,SCMP_KV_UNDEF,53,SCMP_KV_UNDEF,299,SCMP_KV_UNDEF,299,SCMP_KV_UNDEF,258,SCMP_KV_UNDEF,262,SCMP_KV_UNDEF,286,SCMP_KV_UNDEF,286,SCMP_KV_UNDEF,297,SCMP_KV_UNDEF,297,SCMP_KV_UNDEF,53,SCMP_KV_UNDEF,299,SCMP_KV_UNDEF,299,SCMP_KV_UNDEF,306,SCMP_KV_UNDEF
fchmodat2,452,SCMP_KV_UNDEF,452,SCMP_KV_UNDEF,452,SCMP_KV_UNDEF,452,SCMP_KV_UNDEF,452,SCMP_KV_UNDEF,452,SCMP_KV_UNDEF,452,SCMP_KV_UNDEF,452,SCMP_KV_UNDEF,452,SCMP_KV_UNDEF,452,SCMP_KV_UNDEF,452,SCMP_KV_UNDEF,452,SCMP_KV_UNDEF,452,SCMP_KV_UNDEF,452,SCMP_KV_UNDEF,452,SCMP_KV_UNDEF,452,SCMP_KV_UNDEF,452,SCMP_KV_UNDEF,452,SCMP_KV_UNDEF
fchown,95,SCMP_KV_UNDEF,93,SCMP_KV_UNDEF,93,SCMP_KV_UNDEF,95,SCMP_KV_UNDEF,55,SCMP_KV_UNDEF,55,SCMP_KV_UNDEF,95,SCMP_KV_UNDEF,95,SCMP_KV_UNDEF,91,SCMP_KV_UNDEF,91,SCMP_KV_UNDEF,95,SCMP_KV_UNDEF,95,SCMP_KV_UNDEF,95,SCMP_KV_UNDEF,95,SCMP_KV_UNDEF,55,SCMP_KV_UNDEF,95,SCMP_KV_UNDEF,207,SCMP_KV_UNDEF,95,SCMP_KV_UNDEF
fchown32,207,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,207,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,207,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,207,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,207,SCMP_KV_UNDEF
fchownat,298,SCMP_KV_UNDEF,260,SCMP_KV_UNDEF,260,SCMP_KV_UNDEF,325,SCMP_KV_UNDEF,54,SCMP_KV_UNDEF,54,SCMP_KV_UNDEF,291,SCMP_KV_UNDEF,291,SCMP_KV_UNDEF,250,SCMP_KV_UNDEF,254,SCMP_KV_UNDEF,278,SCMP_KV_UNDEF,278,SCMP_KV_UNDEF,289,SCMP_KV_UNDEF,289,SCMP_KV_UNDEF,54,SCMP_KV_UNDEF,291,SCMP_KV_UNDEF,291,SCMP_KV_UNDEF,298,SCMP_KV_UNDEF
fcntl,55,SCMP_KV_UNDEF,72,SCMP_KV_UNDEF,72,SCMP_KV_UNDEF,55,SCMP_KV_UNDEF,25,SCMP_KV_UNDEF,25,SCMP_KV_UNDEF,55,SCMP_KV_UNDEF,55,SCMP_KV_UNDEF,70,SCMP_KV_UNDEF,70,SCMP_KV_UNDEF,55,SCMP_KV_UNDEF,55,SCMP_KV_UNDEF,55,SCMP_KV_UNDEF,55,SCMP_KV_UNDEF,25,SCMP_KV_UNDEF,55,SCMP_KV_UNDEF,55,SCMP_KV_UNDEF,55,SCMP_KV_UNDEF
fcntl64,221,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,221,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,239,SCMP_KV_UNDEF,220,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,212,SCMP_KV_UNDEF,202,SCMP_KV_UNDEF,202,SCMP_KV_UNDEF,204,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,221,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,221,SCMP_KV_UNDEF
fdatasync,148,SCMP_KV_UNDEF,75,SCMP_KV_UNDEF,75,SCMP_KV_UNDEF,148,SCMP_KV_UNDEF,83,SCMP_KV_UNDEF,83,SCMP_KV_UNDEF,148,SCMP_KV_UNDEF,152,SCMP_KV_UNDEF,73,SCMP_KV_UNDEF,73,SCMP_KV_UNDEF,148,SCMP_KV_UNDEF,148,SCMP_KV_UNDEF,148,SCMP_KV_UNDEF,148,SCMP_KV_UNDEF,83,SCMP_KV_UNDEF,148,SCMP_KV_UNDEF,148,SCMP_KV_UNDEF,148,SCMP_KV_UNDEF
fgetxattr,231,SCMP_KV_UNDEF,193,SCMP_KV_UNDEF,193,SCMP_KV_UNDEF,231,SCMP_KV_UNDEF,10,SCMP_KV_UNDEF,10,SCMP_KV_UNDEF,228,SCMP_KV_UNDEF,229,SCMP_KV_UNDEF,185,SCMP_KV_UNDEF,185,SCMP_KV_UNDEF,243,SCMP_KV_UNDEF,243,SCMP_KV_UNDEF,214,SCMP_KV_UNDEF,214,SCMP_KV_UNDEF,10,SCMP_KV_UNDEF,229,SCMP_KV_UNDEF,229,SCMP_KV_UNDEF,231,SCMP_KV_UNDEF
finit_module,350,SCMP_KV_UNDEF,313,SCMP_KV_UNDEF,313,SCMP_KV_UNDEF,379,SCMP_KV_UNDEF,273,SCMP_KV_UNDEF,273,SCMP_KV_UNDEF,348,SCMP_KV_UNDEF,348,SCMP_KV_UNDEF,307,SCMP_KV_UNDEF,312,SCMP_KV_UNDEF,333,SCMP_KV_UNDEF,333,SCMP_KV_UNDEF,353,SCMP_KV_UNDEF,353,SCMP_KV_UNDEF,273,SCMP_KV_UNDEF,344,SCMP_KV_UNDEF,344,SCMP_KV_UNDEF,368,SCMP_KV_UNDEF
flistxattr,234,SCMP_KV_UNDEF,196,SCMP_KV_UNDEF,196,SCMP_KV_UNDEF,234,SCMP_KV_UNDEF,13,SCMP_KV_UNDEF,13,SCMP_KV_UNDEF,231,SCMP_KV_UNDEF,232,SCMP_KV_UNDEF,188,SCMP_KV_UNDEF,188,SCMP_KV_UNDEF,246,SCMP_KV_UNDEF,246,SCMP_KV_UNDEF,217,SCMP_KV_UNDEF,217,SCMP_KV_UNDEF,13,SCMP_KV_UNDEF,232,SCMP_KV_UNDEF,232,SCMP_KV_UNDEF,234,SCMP_KV_UNDEF
flock,143,SCMP_KV_UNDEF,73,SCMP_KV_UNDEF,73,SCMP_KV_UNDEF,143,SCMP_KV_UNDEF,32,SCMP_KV_UNDEF,32,SCMP_KV_UNDEF,143,SCMP_KV_UNDEF,143,SCMP_KV_UNDEF,71,SCMP_KV_UNDEF,71,SCMP_KV_UNDEF,143,SCMP_KV_UNDEF,143,SCMP_KV_UNDEF,143,SCMP_KV_UNDEF,143,SCMP_KV_UNDEF,32,SCMP_KV_UNDEF,143,SCMP_KV_UNDEF,143,SCMP_KV_UNDEF,143,SCMP_KV_UNDEF
